Python,20.86816
4 threads float -lm -lrt -Ofast,1.00786,3.12284e-15,
8 threads float -lm -lrt -Ofast,0.64835,3.12284e-15,
16 threads float -lm -lrt -Ofast,0.65198,3.12284e-15,
32 threads float -lm -lrt -Ofast,0.64979,3.12284e-15,
unthreaded __fp16 -lm -lrt -Ofast,0.61773,3.12284e-15,
1 threads __fp16 -lm -lrt -Ofast,0.61293,3.12284e-15,
2 threads __fp16 -lm -lrt -Ofast,0.61620,3.12284e-15,
4 threads __fp16 -lm -lrt -Ofast,0.64299,3.12284e-15,
8 threads __fp16 -lm -lrt -Ofast,0.65489,3.12284e-15,
16 threads __fp16 -lm -lrt -Ofast,0.67017,3.12284e-15,
32 threads __fp16 -lm -lrt -Ofast,0.66755,3.12284e-15,
unthreaded double -lm -lrt -Ofast -funroll-loops,1.19188,2.08545e-15,
1 threads double -lm -lrt -Ofast -funroll-loops,1.25106,2.08545e-15,
2 threads double -lm -lrt -Ofast -funroll-loops,1.23455,2.08545e-15,
4 threads double -lm -lrt -Ofast -funroll-loops,1.24906,2.08545e-15,
8 threads double -lm -lrt -Ofast -funroll-loops,1.22474,2.08545e-15,
16 threads double -lm -lrt -Ofast -funroll-loops,4.11851,2.08545e-15,
32 threads double -lm -lrt -Ofast -funroll-loops,1.22349,2.08545e-15,
unthreaded float -lm -lrt -Ofast -funroll-loops,0.63055,3.12284e-15,
1 threads float -lm -lrt -Ofast -funroll-loops,0.63988,3.12284e-15,
2 threads float -lm -lrt -Ofast -funroll-loops,0.61646,3.12284e-15,
4 threads float -lm -lrt -Ofast -funroll-loops,0.64394,3.12284e-15,
8 threads float -lm -lrt -Ofast -funroll-loops,0.65778,3.12284e-15,
16 threads float -lm -lrt -Ofast -funroll-loops,0.63650,3.12284e-15,
32 threads float -lm -lrt -Ofast -funroll-loops,0.64377,3.12284e-15,
unthreaded __fp16 -lm -lrt -Ofast -funroll-loops,0.64339,3.12284e-15,
1 threads __fp16 -lm -lrt -Ofast -funroll-loops,0.62228,3.12284e-15,
2 threads __fp16 -lm -lrt -Ofast -funroll-loops,0.60726,3.12284e-15,
4 threads __fp16 -lm -lrt -Ofast -funroll-loops,0.65628,3.12284e-15,
8 threads __fp16 -lm -lrt -Ofast -funroll-loops,0.66028,3.12284e-15,
16 threads __fp16 -lm -lrt -Ofast -funroll-loops,0.63627,3.12284e-15,
32 threads __fp16 -lm -lrt -Ofast -funroll-loops,0.64798,3.12284e-15,
unthreaded double -lm -lrt -Os,1.28549,2.08545e-15,
1 threads double -lm -lrt -Os,1.20136,2.08545e-15,
2 threads double -lm -lrt -Os,1.20534,2.08545e-15,
4 threads double -lm -lrt -Os,1.26201,2.08545e-15,
8 threads double -lm -lrt -Os,1.34208,2.08545e-15,
16 threads double -lm -lrt -Os,1.26503,2.08545e-15,
32 threads double -lm -lrt -Os,1.26054,2.08545e-15,
unthreaded float -lm -lrt -Os,0.65592,3.12284e-15,
1 threads float -lm -lrt -Os,0.64922,3.12284e-15,
2 threads float -lm -lrt -Os,0.64148,3.12284e-15,
4 threads float -lm -lrt -Os,0.68787,3.12284e-15,
8 threads float -lm -lrt -Os,1.72710,3.12284e-15,
16 threads float -lm -lrt -Os,1.16485,3.12284e-15,
32 threads float -lm -lrt -Os,0.73026,3.12284e-15,
unthreaded __fp16 -lm -lrt -Os,0.65310,3.12284e-15,
1 threads __fp16 -lm -lrt -Os,0.65897,3.12284e-15,
2 threads __fp16 -lm -lrt -Os,0.77020,3.12284e-15,
